,username,beername,user_rating,user_review
10,Bhubbard34,Vanilla Bean Assassin,5,"12oz bottle…2022 version. Drank 12/25/22.
Pours dark brown/black, not much carbonation. Smells of sweet chocolate, vanilla, and barrel. Taste is marshmallows soaked in bourbon. Perfect sweetness. If there is a knock it’s slightly on the thin side, but that’s being picky. Probably the best adjunct stout I’ve had. Truly lives up to the hype."
11,edthehead,O.W.K.,5,"Batch 2. This stout certainly lives up to its reputation. Black, oily, faint carbonation, thick mouthfeel, big big but balanced and pleasant vanilla and barrel on the nose and palate. GOAT stout caliber."
12,StoutSnob40,O.W.K.,4.68,"Pours oily black that sits in the glass like road tar. No notable head, but syrupy legs stream down that glass as it’s swirled in a futile attempt to generate one. This looks evil.

For the amount of vanilla in this beer, it doesn’t overpower the nose. It’s definitely there, but the barrel and dark chocolate malt balance things out. It’s crème brûlée with boozy dark chocolate ganache on top.. if that’s a thing.. If anything, I was looking for more barrel in the aroma to help invite you into the glass.

God damn, this is good. It’s vanilla-heavy and playful, but still oaky and austere. Tons of dark chocolate fudge, spicy rye, waffle cone, maillard, soaked charred oak and earthy cacao. I’ve found Side Project’s extended-aged stouts have been far more dry and oaky lately. It’s a good evolution for them."
13,cdinardo21,O.W.K.,4.99,"Probably a top 5 beer I've had. Consumed from a bottle pour at the SP 10th anniversary. Blend #2 (2023). Pitch black pour - amazing viscosity. Perfect blend of bourbon and vanilla. Starts off with bourbon forward followed quickly by the perfect vanilla punch. Don't really have much in the way of notes on this one. It's a world class stout and somehow, despite expectations behing high, this still managed to exceed them."
14,BeerRay,O.W.K.,5,2023
15,RichD,Marshmallow Handjee,5,OMG!! One of the finest elixirs I’ve ever tasted. The 15% is non existent. The vanilla is in your face. The base beer is phenomenal. Truly a transcendent experience. Wow!!
16,pathman,Marshmallow Handjee,5,09/11/23 draft @ Winking Lizard Canton
17,Rug,Marshmallow Handjee,4.6,"2022 vintage, bottle 1316/3500

Another milestone review, number 1800! I figured since I have the highest rated RIS on BA just sitting around that it would be a perfect time to break it out. This is my first of any Dark Lord variant, and I think it’s a damn good place to start for the series. Let’s pop this legend open and see what it has to offer

Pours almost completely pitch black with a finger of creamy tan head that fades to a thin cap and leaves minimal lacing

The roast is real in this one, but it’s wonderfully offset by the sweeter notes as well. I’m picking up on aromas of drip coffee, burnt caramel, dark toast, milk chocolate, tobacco, vanilla bean, molasses, toasted oak, fig, and light cinnamon

It’s similar in taste, but with even more of a depth, making this one hell of a complex beer. On the front end of the sip I’m tasting milk chocolate, vanilla bean, sweetened coffee, toasted oak, fig, maple syrup, burnt caramel, sweet bourbon, cinnamon, black cherry, and marshmallow. The swallow brings notes of milk chocolate, charred oak, maple syrup, burnt caramel, black cherry, fig, vanilla bean, allspice, sweet bourbon, marshmallow, dark toast, and tobacco

A medium body pairs with gentle carbonation, resulting in a smooth beer. Finishes mostly dry with just a touch of boozy heat

Oh yeah, this is amazing. Thankfully a beer that lives up to the hype. Maybe one day I’ll splurge on another bottle"
18,zonker17,Marshmallow Handjee,4.86,"2019 bottle, purple sparkle wax. Pours black with minimal head, no retention. Nose rich vanilla, fruity with strawberry, graham cracker. Taste boozy, chocolate, toasted marshmallow. Full body and minimal carbonation."
19,SayBoom,Marshmallow Handjee,4.42,2022 v.
20,ajramirez1,Marshmallow Handjee,5,"Had the yellow wax at a wedding dinner party. Vanilla/marsh overload, barrel was there, but mostly sweet. Pretty good"
21,LifesAnesthesia,Abraxas - Barrel-Aged,4.81,"L - Deep brown, nearly pitch black with a small tan head that dissipates nearly immediately, leaving behind no real lacking 
S - rich chocolate and chilis up front followed by caramel, vanilla, rich bourbon, and toffee
T - follows the nose: rich chocolate and even fudge, caramel, molasses, and toffee intermixed well throughout, followed by notes of vanilla, roasted malts, warm chilis, and cinnamon.
F - full bodied with light carbonation. Incredibly smooth and soft. Silky. 
O - easily one of the best barrel aged stouts I've ever had"
22,SpeedwayJim,Abraxas - Barrel-Aged,4.29,"750ml waxed and capped bottle into a DDG teku.

Pours thick, viscous. No head, no lace. Big, mocha colored legs. Spice and cinnamon sugar are apparent on the nose. Also notes of chocolate, fudge, molasses, and booze. Very pungent. Beer opens chocolate, fudge, and cinnamon sugar. Spicy and prickly. Vanilla and barrel in the middle. Oak, booze, and more molasses and fudge at the end. Sticky finish. Body is full with low carbonation. Smooth and rich on the palate and goes down messy with a lingering aftertaste. 

I'm actually less of a fan of this than other imperial stouts in Perennial's barrel aged series. That being said, still far better than average."
23,NCSapiens,Abraxas - Barrel-Aged,4.4,"Excellent rye barrel with strong taste of cinnamon. Hints of cocoa nibs, ancho, and vanilla are pushed into the background by the barrel flavor, which dominates the other flavors. It is very good, but personally I slightly prefer the greater nuance of the regular Abraxis."
24,DucksFan16,Hunahpu's Imperial Stout - Double Barrel Aged,4.27,"LONG time want of mine! 2016 vintage. Unfortunately, most of the cocoa, vanilla, and cinnamon has faded already. All that remains is the apple brandy, and strong ancho chilies. Spicy burn on finish. I’m sure it’s a shell of its former self."
25,bret27,Hunahpu's Imperial Stout - Double Barrel Aged,4.17,Bottle share thx to Hopelessly0.
26,carlso_aw,Hunahpu's Imperial Stout - Double Barrel Aged,4.46,"Review was for OG, not rerelease."
27,Dfeinman1,Hunahpu's Imperial Stout - Double Barrel Aged,4.75,"This amazing beer combines tobacco, peppers, vanilla, and what tastes like brandy into the quintessential barrel aged beer that pours perfectly and combines amazing mouthfeel, carb and taste"
28,Bhubbard34,Hunahpu's Imperial Stout - Double Barrel Aged,3.95,"2016 Vintage - Drank 02/24/21

Smell -pleasant with notes of tobacco and chocolate

Taste - The tobacco over powers this one in the beginning. And then as it warms, the peppers take over. Very unique taste, and I think it’s the brandy barrel influence.

Feel - thin, and I expected more

Overall - for being the #4 overall beer on BA, I expected more, much more. The feel was thin, and notes of pepper overpowered this. Yet it was not completely unenjoyable, just not even close to the 4th best beer in the world. Regardless, glad I gut to try it as it’s always nice to see what the hype is about. This one just didn’t live up to it"
29,ThisWangsChung,Blessed,4.83,"Pours a pitch black color with no head. Only the alcohol legs stand out aesthetically. The aroma, though, might be one of the most multi-faceted yet delicate experiences I've encountered in the beer world. There's just so much going on, yet the notes of bourbon, chocolate, dark fruits, vanilla, coconut, and almonds are so harmonious and perfectly balanced, it just blows my mind. The flavor profile absolutely doesn't disappoint in the slightest, and I gave the aroma a 5! A fuckin' 5! I don't hand out 5's the way Stone Cold Steve Austin hands out Stone Cold Stunners, that's for sure. It opens with a huge hit of coconut and vanilla, revealing a midtaste of dark fruit goodness. Oak gradually appears on the back end, with a perfectly balanced hit of booze to cleanse the palate. Despite the extreme flavors, it's shockingly balanced, though perhaps less delicate than the aroma; that's my only real nit to pick, and I wonder if it's even worth picking. The feel is just a touch flat, but despite the intense, palate coating sweetness, the oak tannins and nuanced alcohol presence do enough to cleanse the palate. In general, it's extreme but somehow well rounded...the best of both worlds.

I don't regret spending $53 on this small bottle. Enough said. This right here - in my humble opinion - is a paragon of the beer world, and the best barrel aged stout I've ever sampled."
30,lucius10,Blessed,4.5,"Sweet milk chocolate, a hint of savory/umami, prominent vanilla, fleshy raw coconut, and a bourbon barrel nose on this one! Great aromatics here! Taste follows with a thick and velvety, milk chocolate-covered coconut, and a big, vanilla-bourbon barrel boozy heat finish. And I mean heat! Whoa! Not sure if it is this particular bottle, but that boozy backend is the only drawback IMO. This is absolutely delicious! I just wish a little more balance was given to the barrel treatment here."
31,MutuelsMark,Blessed,4.88,"WOW, what a beer. Black as ink with a tiny brown head that leaves absolutely no lacing, unless you count the brownish staining from the charred beer. Nose is coffee and charr, but also alcohol. Taste is very chocolatey, then the warmth builds from the alcohol, however not overwhelmingly so. Very smooth beer. Great beer."
32,mschrei,Blessed,4.8,"Part of me wanted to age this for a long time. And then things in my life recently made me feel we should do what we can while we can, so maybe I should drink the hugest ranked beer I have in my collection. 

It’s sweet, flavorful, balanced, and boozy. 

Dark, very brown edging, oil sheen top.

Strong sweet notes of coconut, vanilla, toasted dark malt, and bourbon barrel so strong it can burn your nose hair.

Taste is a duel between strong booze of the bourbon barrel and the sweetness of the coconut and vanilla. 

Feel is the weak point here. It’s maybe too much of a booze burn, and it’s a bit sticky and thick. I’m thinking aging it would have helped, and it’s my fault for that.

But I wanted to try this beer, and I did. Glad I did. It’s big on flavor and booze and very enjoyable for the attempt."
33,Mar02x,Blessed,4.37,Way to sweet for my palate - but I feel very blessed that I had the opportunity to try it
34,mrmsmith,Blessed,4.63,"2021 editiion, drank May 2022. So sweet, even the small bottle was a lot to drink solo. Ten Years was much more balanced."
35,ovaltine,Blessed,4.85,"Pours squid ink black and settles in the glass like a black velvet cloak, stopping all light, sitting under a sudsy dark tan head that dissipates quickly, as expected with a beer of this gravity. Absolutely gorgeous imperial stout.

I don’t know if the nose of a beer can be decadent, but this beer’s nose is, with rich cocoa and vanilla notes up front, some dark cherries, and a sledgehammer of oak and barrel notes.

The taste is led by the vanilla and cocoa notes, and they are rich and chewy, moving into the dark cherry flavors to cut the sweetness a bit, and then finishing with the oak and a welcome boozy warming from the three bourbon barrels featured in this beer.

The mouthfeel is as rich and decadent as a gooey bourbon soaked brownie sitting in a dip of vanilla ice cream. I can’t imagine a more perfect rendering of a BA imperial stout."
36,BEERchitect,Blessed,4.83,"If Woodford Reserve, Willet and Heavenly Hill were to get together and make a beery baby, they would be so blessed to have this stout. Slumbering away for extended aging these three barrels give Anchorage Brewing a love child that can compete with the best.

Jet black and pouring like inky tar, Blessed pours with a luscious, ominous and velvety pour. While shy on froth the overwhelming scent of molasses, chocolate, whisky, oak, coconut and cream align with stronger scents of coffee and campfire. Once on the tongue, the immense sweetness of molasses, brown sugar and fudge carry and nearly brownie-batter taste with those sweeter bourbon barrels playing a maple and coconut sweetness.

As the sweeter flavors swirl on the tastebuds, notions of mound and almond joy pop off of the middle palate while the malts remain juicy and plush. Trailing into a smooth espresso, cappuccino character, the late taste brings out all of those coconut, toasted oak, vanilla, cherry and savory smoke to have the session trending warm, sultry and savory set of pleasantries.

Full bodied, pillowy and fortified with nearly port-like proportions, the stout is simply magical. It pushes the boundaries in what is a fully malted imperial stout before pushing into the pastry realm. The warmth of whisky is soothed with caramel malts, vanilla and coconut and balances the sheer malts with utter ease."
37,ThaKennster,Blessed,5,Top tier.
38,pathman,Blessed,5,05/20/23 bottle @ Mimi’s house AVL
39,jhavs,Blessed,4.54,"2022 bottle, thick like motor oil, black, sweet, boozy, opaque, chocolate, dark fruits. Minimal carbonation that is appropriate for the style. Smooth barrel."
40,matcris,Heady Topper,4.99,"Lots of mango, peach, melon, apricot, pine, and even mint in the aroma and flavor; smacks you right in the face.

Looks like a well made double IPA; good head retention, lacing.

Nice, full body and full carbonation, nice sweetness on top of the palate with a balanced bitterness on the tongue that builds.

Slightly sticky up front and finishes dry. 

Superb DIPA all around. Love it."
41,Roxchambeau,Heady Topper,4.62,"Wandered into a store while out on an errand and was approached by an employee who offered a case from the back. Score! 

This beer is unlike anything I've had before. It's almost ""pure"" hop flavor. Earthy, natural, no distractions. Light carbonation, smooth mouth feel, no alcohol burn, just HOPS! 

Nice long finish. Glad I finally got to try after hearing so much about these brews."
42,CObrewsbaby,Heady Topper,4.56,"Found this beer yesterday at my local liquor world. It was limited to one pack per person and it was the last one in the store. I sent it because I was so curious. I looked it up and people have a hard time getting their hands on it during the limited time they sell. It’s honestly the best IPA I’ve had, it doesn’t leave the nasty hoppy flavor lingering, it’s crisp and almost fruity. Really cool can in my opinion too, really simple but unique. Lucky find on my part."
43,Jduckart,Heady Topper,5,Like drinking magic.
44,mvanaskie13,Heady Topper,4.37,"Poured into narrow imperial pint glass: color is straw godl, hazy but not dense, head is off white with mixed bubbles, presents 1+ finger thick, solid top remains and lacing on the glass sides. 

Smell is citric, floral, light malt with biscuit and oats/wheat notes. 

Taste is well balanced - aroma is enhanced just before tasting with biscuit/herbal/floral notes, taste is citric rind/pith, floral, herbal notes, then biscuit/oaty note, lighter sweet malt. 

Mouthfeel is low/moderate carbonation, moderate sweetness, moderate bitterness. 

Overall a brew that lives up to its status - hops, light malt, balanced bitterness and sweetness."
45,Mar02x,A Deal With The Devil - Triple Oak-Aged,4.86,"Briljant beer and worth searching for.
In the nose - a really nice and complex smell that longs for another sniff.
Taste- complex, sweet but not overwhelming, caramel, tannins and vanilla from the barrel. 
Overall- excellent flavor and taste, not unbalanced in anyway."
46,maximum12,A Deal With The Devil - Triple Oak-Aged,4.73,"Thank you to noblepudding, a prince among traders, for sending this fancy, gold-waxed bottle to the northern steppes. 375ML, Batch #7. 

The pour is a muddied brown-red with the expected lack of bubbles. The nose is a sharp spike of bourbon & booze. 

A Deal with the Devil – Triple Oaked is a multi-layered beast. The booze is off the charts for a malt-based product & the bourbon exhale is spectacular; if I drank the stuff I suspect I could pull some of the various bottles out of the layers. Underneath that glorious noise is black, bruised, sweet fruit just on the edge of gone, molasses, achingly sweet, before the desiccated oak brings it home. Shame this bottle is so small. I have lots of sick/vacation time to use on three of these in a night. 

Well, damn. Anchorage rarely misses on their big bottles & they better not based on the price point. This is transcendent."
47,dafla67,A Deal With The Devil - Triple Oak-Aged,4.87,"Pours a deep, dark brown color. Aroma is an amazing, complex combination of dark fruits, oak, bourbon with hints of caramel and a tad bit of coconut. Taste follows nose but with more intensity of flavor and sweetness -- the dark fruits (fig and plums), brown sugar, caramel, bourbon and the oak. So very balance and very present in the taste without distracting from the other flavors. Full bodied, traditional ADWTD mouthfeel. Incredible barleywine and worth the wait."
48,mrmsmith,A Deal With The Devil - Triple Oak-Aged,4.6,"2021 batch 3, drank in June 2022. Didn't get as much from this as previous ADWTD. Felt sweet without complexity that you would expect. Still very delicious, just not worth the price."
49,GreatStoutman,A Deal With The Devil - Triple Oak-Aged,5,"Complex and boozy, hits all the right barley wine notes but adds so much more. Fruity, sweet but not cloying. Thick but not too heavy, just all around outstanding."
50,Sabtos,A Deal With The Devil - Triple Oak-Aged,4.35,"My first sacrifice at Dark Lord Day 2023 (it's back baby!!!), this screenprinted batch 1 Triple Oak label--sporting those the Aussie stickers with pride--poured a mildly viscous clear reddish-copper with nary a head to speak of, though ringed by a bubbly tan chain.

Intensely woody up front, it even leans a little pungent and catty right out of the bottle. However, it quickly transforms into an explodingly delectable maple tempered by a whiskey heat that both continue to expand on the exhale and with each subsequent sip.

Though this definitely shows its age, it's quite the experience nevertheless. Still, I'm not sure anything can beat my nostalgia for the original cognac-only bomber, despite my Double Oak rating being the highest of all three."
51,TonyLuvsBeer,M.J.K.,5,Absolute phenomenal brew. Super complex. Perfect in every way. It was the star of our beercation to Side Project.
52,cdinardo21,M.J.K.,4.98,"4 oz bottle pour at the brewery for the 10th Anniversary; finally getting around to acknowledging it. Very barrel-forward, and really gives you everything that you'd want out of a BA barleywine. Pours a deep copper brown with no head as expected, as the 2021 vintage was bottled still; notes of many apple cider, plum, and raisins. 

Light vanilla, leather, light tobacco as it warms. The mouthfeel is very smooth for such a high ABV beverage. Surprisingly there is little to no heat from the 20% alcohol.

Very much looking to try the 2024 vintage at Stout Week this year. Just a world class beer."
53,BeerRay,M.J.K.,5,Unbelievable poor at side projection
54,dontknojack,M.J.K.,5,"This was by far not only the best barleywine I have ever had but for its style, one of the best beers I have ever had. Incredible for its ABV. Perfect complexity and balanced appropriately."
55,SadMachine,M.J.K.,4.99,"2021 vintage bottle pour on site.

A- Pours a deep auburn/ruby brown that has a small amount of transparency. This was bottled still, so there is no head as expected, but it has absolutely gorgeous legs when swirled in the glass!

S- The aroma explodes from the glass, with tremendously expressive notes of many different fruits! Huge notes of mulled apple cider, plum, prune, and red wine soaked raisins. Charred oak, sweet vanilla, leather, light tobacco, and warming booze come through more as it warms. A bright, but not tart, Granny Smith apple note is surprising, but rounds out this extraordinarily complex aroma perfectly!

T- The flavor opens with tobacco and leather, followed by some remarkably smooth charred oak. All of the aforementioned fruit notes follow, with the mulled apple cider and wine soaked raisins as the prominent players. Loads of sweet bourbon and vanilla finish this out beautifully!

F- The mouthfeel is perfectly round, with absolutely no sharp edges despite the 20% abv! It is thick and viscous without being cloying at all. Somehow there is no alcohol heat, even in the finish. Just perfect!

O- This is essentially a perfect beer! I was trying to find flaws, and it's just really hard to do so. An absolute treat to try, and I would seek this out as many times as I can!"
56,Lucular,Mornin' Delight,4.54,"2023 vintage. 7.75 oz pour on tap for $13.50. Pours pitch black with a voluminous tan head. Aroma and flavor feature a TON of maple syrup, along with coffee, dark roasted malts, dark chocolate, vanilla, and bourbon. Sweet but not cloying. Definitely some alcohol heat which would probably become smoother with age. Obviously super glad to have tried this, but didn't quite live up to the hype for me. It's quite tasty but strikes me as a giant maple bomb first and foremost."
57,MutuelsMark,Mornin' Delight,4.82,Pours as dark as it possibly be. Not much head to speak of. He knows has a chard smell to it. The taste is sweet with a caramel and likely maple flavor to it. Nice warm on the throat. Wow is all I can say.
58,DaveMaciolek21,Mornin' Delight,4.99,"Finally had this--one of USA's Holy Grail beers--at Henry's in Saratoga Springs, NY. Believe the hype! Jet black pour with a thin tan creamy head. Maple syrup and espresso nose. This beer glides down the hatch delivering maple sweetness, light chocolate which is then balanced with a slightly bitter coffee tannin finish. It's just flat-out brilliant. Grab one and don't let go."
59,Zekenyce,Mornin' Delight,4.75,Holy Maple!!!
60,Smakawhat,King Julius,4.45,"Poured from the can into an elongated tulip glass. Return of the king 11/24/2023.

Two finger sized tall, white capped and looking slightly creamy. Speckled lacing with simple staying power. Marmalade solid orange colored body with just the faintest amount of carbonation. Does have a turbid appearance.

Ripping tangerine aroma and cream on the nose. Light touches of oily citrus zest, but also a good vanilla like cream sweetness that lingers in the background. Mild touches of herbal hop and mint as well. Excellent hop profile. 

Wonderful palate to match. Tangerine bursting and chewy orange rind on first sip. Slight flour dry malt base which turns into a more supportive feature than flavoring accents. Creamed only slightly with still light vanilla touches on the finish and no surprises from the nose. Herbal spice of pine and mint round out.

Solid big no surprises here just exceptional flavor in a great package."
61,Hobbs87,King Julius,4.73,"Just a phenomenal brew. Top notch DIPA. Great color with a citrus aroma but not overwhelming. Fantastic flavor, smooth and juicy with very little bitterness. I would highly recommend."
62,Darkmagus82,King Julius,4.44,"Poured from a can into a teku glass
Appearance – The beer pours a super hazy orange juice color with a thick puffy head of just off-white foam. The head has an incredible level of retention, very slowly fading over time and leaving a massive amount of foamy and streaky lace on the sides of the glass.
Smell – A gigantic amount of tangerine and orange greet the nose, along with big aromas of tropical fruits of pineapple and papaya. Other big hop smells of grapefruit and herb are there as well, mixed with a big showing of a very raw and green hop smell, pungent like a raw hop nugget. Notes of yeast and a bit of lemon mix in there as well, and with a bready and slightly doughy malt smell, a very fruity and inviting aroma is produced overall.
Taste – The taste begins much drier than one would anticipate from the nose. It starts with a moderately bready flavor mixed with lots of tangerine and grapefruit as well as a big showing of orange and mango. Right from the start the hop is ever present with a good showing of a smooth grapefruit hop mixed with lots of raw herbal and earthy hop flavors. The hop is fresh tasting, almost like biting into a hop nugget, melding well with the other flavors nicely. Toward the end, there is a touch of hay and grass, as well as a bit of lemon and an increase in the tropical fruits with a bit of pineapple joining in. The flavor transitions that transpire lead to a nice somewhat more raw and dankly hopped, but smooth taste to linger on the tongue.

Mouthfeel – The body of the brew is rather thick and chewy with a carbonation level that is slightly more subdued. For the rich hop flavors the feel is fantastic making for a nice easy slow and flavorful sipper.
Overall – A well renowned beer for a reason. It is damn good. While not the number 1 IPA for me, it was very flavorful, hoppy, smooth, and balanced; a blend that is difficult to attain. Well done."
63,GregDBoston,King JJJuliusss,4.93,Almost the perfect NEIPA. Rich and velvety with tons of terps. Much meatier and not as sweet as some Tree Houses. Now for just a little lower ABV . . .
64,TCgenny,King JJJuliusss,4,"Poured bright and bouncy from can that travelled many miles from Charleton via Connecticut via my buddy The Woodchipper, canned 1/9/24. Golden yellow apprearance with a rich head dissipating down to a soap lace on the tulip glass. Great bitter grapefruit mango tropical melange flavor. I imagine the aroma/ flavor would be even more bursting had the can been fresher/ less miles on it, but I am grateful."
65,Jw13,King JJJuliusss,4.69,Deep yellow-orange pour with small head that leaves plenty of lace on the glass. Smells of orange and mango with a touch of grass. Mango and orange dominate in the taste along with some rindy bitterness. Mouthfeel is fluffy with moderate carbonation. Even better than I remember it.
66,mrmsmith,Zenne Y Frontera,4.6,18/19 blend 93.
67,hopley,Zenne Y Frontera,4.31,"Blend n94 Season 18/19. Drank 02.02.23 out of a Hill Farmstead oversized wine glass.

Look - No head and little carb, gold color. 
Smell - Distinctly lambic.
Taste - Acid. Too much at cellar temp, but when it got to room temp, it was more tasty, but still too much on the sour side for my taste. 
Feel - Medium mouthfeel with low carbonation. 
Overall - Just too sour and acidly of a lambic for me to really enjoy; I need to give another blend another shot just to see if it was this batch, or if Zenne might not be my thing."
68,flagmantho,Pliny The Younger,4.15,"I had this beer on-tap in a tulip glass at Special Brews in Lynnwood, WA. 

Appearance: medium-light golden hue with just the tiniest wisp of haze and practically no head.

Smell: a light, sweet, almost tropical fruitiness with some piney hop character atop a pretty pronounced malt aroma. Nice.

Taste: richly malty and a bit sweet, but with lots of bitterness backing it up. There’s a little fruity character here, I’m thinking from fermentation, along with some piney/grassy notes from the hops. It’s interesting — a rich flavorful beer, but neither as cloying nor as harsh as TIPAs often are. Worth the hype? Maybe. But certainly a good beer.

Mouthfeel: medium body with a good level of carbonation and creaminess.

Overall: I like this beer a lot, and I bet if I’d tried it 15 years ago it would have blown my mind (and my palate). In today’s IPA climate, competition is tough and we as consumers are spoiled. That said, this remains a really tasty beer."
69,Hayesbro,Pliny The Younger,4.8,"Not sure what else needs to be said about this beer, it's pretty close to perfection for the style. A little on the light side, piney and bitter with a touch of sweetness. Intense flavors and very very smooth."
70,NeilSilber1,Pliny The Younger,5,"Pours golden yellow with slight white lacing crown on special edition (once a year) draught at Malibu Wine & Beer. Notes of honey and crisp perfect hops, slightly sweet with a perfect hop punch. This limited batch hard to get pour drinks like a single IPA but checked in at hefty 10.25% ABV putting it into triple IPA category. CHEERS to Russian River and the perfect IPA."
71,TheIPAHunter,Pliny The Younger,4.71,"Intense gummy bear nose. Taste is soft stone fruit, green pear, grapefruit rind, and an absolute blast of pine resin. Prickly mouthfeel. Dry, bitter finish. Phenomenal."
72,Sandis,Coconut Vibes - Barrel-Aged,5,Bottle share with Rob. For me this is about as good as beer gets. Wonderful mouthfeel and coconut flavor.
73,cdinardo21,Coconut Vibes - Barrel-Aged,4.38,"2023 bottle. Aromas and flavors are dominated by coconut; not sure if this bottle was off, but got a heavy alcohol bite up front. It mellowed mid palate, but still was offputting. Very thick and smooth from a mouthfeel perspective. Honestly enjoyed Batch 3 of the non-ba version of this better than the 2023 bottle. Shame I missed 2019 at Stout Week - was hoping to compare."
74,Holderness,Coconut Vibes - Barrel-Aged,4.21,"2023 vintage. Pours nearly still and super syrupy in the glass with noticeable congealed coconut fat in suspension. Not exactly the most appealing, but definitely sets the stage in terms of viscocity. This is easily the most coconut-forward beer I've ever had -- both the aromas and flavors are dominated by intense notes of shredded coconut, coconut macaroon, and coconut ice cream. Quite perceivable booziness in the aromas in particular, but things are smoothed out by the liquid brownie batter character in the flavors quite nicely. Hugely thick, velvety, and viscous, the mouthfeel is only knocked down a hair by the near-cloying sweetness. It's definitely a punch-you-in-the-face kind of beer. Leaps and bounds beyond the other coconut-forward BA stouts out there? Not really. But it is damn decadent

85/100"
75,Beerbom,Coconut Vibes - Barrel-Aged,4.17,I kinda wish there was more toasted coconut and less young coconut in this bad boy.
